coin,fundingRate,premium,time,funding_zscore,liquidation_risk
BTC,0.00125,-0.0001929797,2026-01-15 04:00:00.018,0.6903939700200828,normal
BTC,0.00125,-0.0001516553,2026-01-15 05:00:00.081,0.6903939700200828,normal
BTC,0.00125,-8.62322e-05,2026-01-15 06:00:00.021,0.6903939700200828,normal
BTC,0.00125,-0.000136011,2026-01-15 07:00:00.057,0.6903939700200828,normal
BTC,0.00125,-7.39536e-05,2026-01-15 08:00:00.029,0.6903939700200828,normal
BTC,0.00125,-0.000142573,2026-01-15 09:00:00.023,0.6903939700200828,normal
BTC,0.00125,-0.0001272779,2026-01-15 10:00:00.082,0.6903939700200828,normal
BTC,0.00125,-0.0001040037,2026-01-15 11:00:00.076,0.6903939700200828,normal
BTC,0.00125,-9.83359e-05,2026-01-15 12:00:00.028,0.6903939700200828,normal
BTC,0.00125,-1.10933e-05,2026-01-15 13:00:00.044,0.6903939700200828,normal
BTC,0.00125,7.581e-05,2026-01-15 14:00:00.054,0.6903939700200828,normal
BTC,0.00125,8.96509e-05,2026-01-15 15:00:00.001,0.6903939700200828,normal
BTC,0.00125,4.65316e-05,2026-01-15 16:00:00.020,0.6903939700200828,normal
BTC,0.00125,1.4053e-05,2026-01-15 17:00:00.067,0.6903939700200828,normal
BTC,0.00125,1.36238e-05,2026-01-15 18:00:00.062,0.6903939700200828,normal
BTC,0.00125,-9.37322e-05,2026-01-15 19:00:00.003,0.6903939700200828,normal
BTC,0.00125,-0.0003278369,2026-01-15 20:00:00.057,0.6903939700200828,normal
BTC,0.00125,-0.0002850706,2026-01-15 21:00:00.062,0.6903939700200828,normal
BTC,0.00125,-0.0002098911,2026-01-15 22:00:00.033,0.6903939700200828,normal
BTC,0.00125,-0.000219394,2026-01-15 23:00:00.000,0.6903939700200828,normal
BTC,0.00125,-0.0002027668,2026-01-16 00:00:00.092,0.6903939700200828,normal
BTC,0.00125,-0.000113707,2026-01-16 01:00:00.045,0.6903939700200828,normal
BTC,0.00125,-8.5144e-05,2026-01-16 02:00:00.007,0.6903939700200828,normal
BTC,0.00125,-1.22384e-05,2026-01-16 03:00:00.044,0.6903939700200828,normal
BTC,0.00125,-4.48011e-05,2026-01-16 04:00:00.096,0.6903939700200828,normal
BTC,0.00125,-0.0001469089,2026-01-16 05:00:00.028,0.6903939700200828,normal
BTC,0.00125,-4.66671e-05,2026-01-16 06:00:00.013,0.6903939700200828,normal
BTC,0.00125,-1.08196e-05,2026-01-16 07:00:00.059,0.6903939700200828,normal
BTC,0.00125,-1.44723e-05,2026-01-16 08:00:00.044,0.6903939700200828,normal
BTC,0.00125,-6.935e-05,2026-01-16 09:00:00.013,0.6903939700200828,normal
BTC,0.00125,-0.0001110387,2026-01-16 10:00:00.073,0.6903939700200828,normal
BTC,0.00125,9.1846e-06,2026-01-16 11:00:00.003,0.6903939700200828,normal
BTC,0.00125,4.70285e-05,2026-01-16 12:00:00.005,0.6903939700200828,normal
BTC,0.00125,5.04465e-05,2026-01-16 13:00:00.060,0.6903939700200828,normal
BTC,0.00125,-1.17031e-05,2026-01-16 14:00:00.084,0.6903939700200828,normal
BTC,0.00125,2.87781e-05,2026-01-16 15:00:00.051,0.6903939700200828,normal
BTC,0.00125,0.0002132995,2026-01-16 16:00:00.040,0.6903939700200828,normal
BTC,0.00125,0.000302446,2026-01-16 17:00:00.051,0.6903939700200828,normal
BTC,0.00125,0.0003489609,2026-01-16 18:00:00.045,0.6903939700200828,normal
BTC,0.00125,0.0003569166,2026-01-16 19:00:00.147,0.6903939700200828,normal
BTC,0.00125,0.0002976432,2026-01-16 20:00:00.078,0.6903939700200828,normal
BTC,0.00125,0.00034229,2026-01-16 21:00:00.092,0.6903939700200828,normal
BTC,0.00125,0.0003190356,2026-01-16 22:00:00.120,0.6903939700200828,normal
BTC,0.00125,0.0002310642,2026-01-16 23:00:00.021,0.6903939700200828,normal
BTC,0.00125,0.0002387259,2026-01-17 00:00:00.037,0.6903939700200828,normal
BTC,0.00125,0.0002305604,2026-01-17 01:00:00.055,0.6903939700200828,normal
BTC,0.00125,0.0001838471,2026-01-17 02:00:00.090,0.6903939700200828,normal
BTC,0.00125,0.0001849497,2026-01-17 03:00:00.036,0.6903939700200828,normal
BTC,0.00125,0.000165066,2026-01-17 04:00:00.003,0.6903939700200828,normal
BTC,0.00125,0.0002196628,2026-01-17 05:00:00.027,0.6903939700200828,normal
BTC,0.00125,0.0002082226,2026-01-17 06:00:00.104,0.6903939700200828,normal
BTC,0.00125,0.0002184307,2026-01-17 07:00:00.005,0.6903939700200828,normal
