date,close,trade_return,total_flow_usd_millions,gold_5d_return,trade_return_pct,cumulative_return,trade_num,cumulative_value,running_max,drawdown,win,loss,month
2024-01-19,41618.40625,0.0047686794830112955,-13.513767506711687,0.03193567900841021,0.47686794830112955,0.0047686794830112955,1,1.0047686794830113,1.0047686794830113,0.0,1,0,2024-01
2024-01-23,39845.55078,0.07797755431102127,-55.39403361250877,0.021283212896294756,7.797755431102127,0.08311808375741103,2,1.083118083757411,1.083118083757411,0.0,1,0,2024-01
2024-01-24,40077.074219,0.06251781847418791,-57.47798663419718,0.3013331734981195,6.251781847418791,0.15083226350386703,3,1.150832263503867,1.150832263503867,0.0,1,0,2024-01
2024-01-29,43288.24609,-0.014543858364948536,2.5838063189737,0.5928856976360475,-1.4543858364948536,0.13409472206165374,4,1.1340947220616537,1.150832263503867,-0.014543858364948462,0,1,2024-01
2024-01-30,42952.60938,0.003074609480221424,-98.77996358335996,0.34051577549358836,0.3074609480221424,0.13758162044557354,5,1.1375816204455735,1.150832263503867,-0.011513965569534941,1,0,2024-01
2024-01-31,42582.60547,0.04075883029803706,-72.27490094600967,1.0997870809460686,4.075883029803706,0.18394811666348065,6,1.1839481166634807,1.1839481166634807,0.0,1,0,2024-01
2024-02-01,43075.77344,0.051671572957367795,-82.74452419672379,1.7473572101773804,5.1671572957367795,0.245124578151396,7,1.245124578151396,1.245124578151396,0.0,1,0,2024-02
2024-02-20,52284.875,0.09181424054279552,-45.67722775758902,0.19240051797189128,9.181424054279553,0.35944474567553497,8,1.359444745675535,1.359444745675535,0.0,1,0,2024-02
2024-02-22,51304.97266,0.19283530693143547,-180.9291959192221,1.7026349749618142,19.283530693143547,0.6215936904642041,9,1.621593690464204,1.621593690464204,0.0,1,0,2024-02
2024-02-27,57085.37109,0.11764534418830208,-179.7206719301052,0.2827112475840554,11.764534418830209,0.8123666383124444,10,1.8123666383124444,1.8123666383124444,0.0,1,0,2024-02
2024-02-29,61198.38281,0.09358256390174025,-29.23189332997154,0.9330347743544243,9.358256390174024,0.9819725550557008,11,1.9819725550557008,1.9819725550557008,0.0,1,0,2024-02
2024-03-01,62440.63281,0.0938405117998995,25.609256568265145,2.2638131603216483,9.38405117998995,1.1679618739954822,12,2.1679618739954822,2.1679618739954822,0.0,1,0,2024-03
2024-03-04,68330.41406,0.05551689159484674,-16.499386867255538,4.149839365163022,5.551689159484674,1.2883203783358503,13,2.2883203783358503,2.2883203783358503,0.0,1,0,2024-03
2024-03-13,73083.5,-0.07073864990045642,-92.4020074473252,1.1971253518632041,-7.073864990045642,1.1264476842326707,14,2.1264476842326707,2.2883203783358503,-0.07073864990045639,0,1,2024-03
2024-03-25,69958.8125,-0.06449280196115392,-11.865097652985504,0.4799313701573604,-6.449280196115392,0.9893071148526986,15,1.9893071148526986,2.2883203783358503,-0.1306693181225808,0,1,2024-03
2024-04-05,67837.64062,-0.009460432646750894,-53.7068774458453,4.579038553883352,-0.9460432646750894,0.9704874088789324,16,1.9704874088789324,2.2883203783358503,-0.13889356248623613,0,1,2024-04
2024-04-08,71631.35938,-0.11454687599145208,-73.5824973234397,4.167061927685278,-11.454687599145208,0.7447742320113595,17,1.7447742320113595,2.2883203783358503,-0.23753061479956636,0,1,2024-04
2024-04-09,69139.015625,-0.07704987259138463,-120.15758689657152,3.2149456109437757,-7.704987259138463,0.6103395997341532,18,1.6103395997341532,2.2883203783358503,-0.29627878378409117,0,1,2024-04
2024-05-09,63049.96094,0.03492815898959378,18.57131840207839,1.792329553752925,3.4928158989593783,0.6665857973009066,19,1.6665857973009066,2.2883203783358503,-0.27169909725975155,1,0,2024-05
2024-05-15,66267.49219,0.04289339638582135,68.80612071017055,3.4226039404082753,4.289339638582135,0.7380713225155144,20,1.7380713225155144,2.2883203783358503,-0.2404597979503626,1,0,2024-05
2024-05-21,70142.84,-0.036687850107010256,26.695411039747817,2.815351227818619,-3.6687850107010256,0.6743052223597721,21,1.674305222359772,2.2883203783358503,-0.26832569503340803,0,1,2024-05
2024-07-02,62040.22,-0.0697552329762855,29.705317883920856,0.46607010224584133,-6.97552329762855,0.5575136715006548,22,1.5575136715006548,2.2883203783358503,-0.31936380663911434,0,1,2024-07
2024-07-05,56639.43,0.022415479816799033,7.230146138561707,2.762913173099113,2.2415479816799033,0.5924260877685663,23,1.5924260877685663,2.2883203783358503,-0.3041070197842505,1,0,2024-07
2024-07-11,57340.77,0.11583538205015387,44.60440307059571,2.412952141973701,11.583538205015387,0.77688537203187,24,1.77688537203187,2.2883203783358503,-0.223497990554939,1,0,2024-07
2024-08-05,53970.57812,0.09983591185589469,45.43890244686136,0.9803868607092481,9.983591185589468,0.9542823434120724,25,1.9542823434120724,2.2883203783358503,-0.14597520438405678,1,0,2024-08
2024-10-11,62541.68,0.09415816780105701,72.33103725662377,0.19183723294005084,9.4158167801057,1.138293988233709,26,2.138293988233709,2.2883203783358503,-0.06556179437218747,1,0,2024-10
2025-02-13,96625.29,-0.00484614328195021,25.872769921538605,2.611701428880231,-0.48461432819502104,1.1279315091877957,27,2.1279315091877957,2.2883203783358503,-0.07009021580478833,0,1,2025-02
2025-09-08,112072.57,0.02952113974008097,60.68069389110569,5.266136263808807,2.952113974008097,1.1907504726278502,28,2.19075047262785,2.2883203783358503,-0.042638219119892885,1,0,2025-09
2025-10-01,118659.97,0.0394680699818144,50.08002758691136,3.702082949996943,3.94680699818144,1.2772151655942192,29,2.277215165594219,2.2883203783358503,-0.004852997354202315,1,0,2025-10
